"고유번호","읍면동코드","읍면동명 한글","읍면동명 영문","위도","경도"
"302","11440112","현석동","Hyeonseok-dong","37.5422601","126.9345409"
"303","11410106","천연동","Cheonyeon-dong","37.5678141","126.9597567"
"313","11170135","용산동6가","Yongsan-dong 6(yuk)-ga","37.5168611","126.9842131"
"293","11350106","중계동","Junggye-dong","37.6508772","127.0775079"
"294","11440114","창전동","Changjeon-dong","37.5498986","126.9290711"
"295","11110187","무악동","Muak-dong","37.5767914","126.9582278"
"296","11410113","대신동","Daesin-dong","37.5646453","126.9439075"
"304","11215103","구의동","Guui-dong","37.5436014","127.093166"
"305","11200102","하왕십리동","Hawangsimni-dong","37.5643661","127.0285936"
"306","11290133","정릉동","Jeongneung-dong","37.6167753","126.9983572"
"307","11710109","장지동","Jangji-dong","37.4785724","127.1320172"
"308","11560132","신길동","Singil-dong","37.5058261","126.9126517"
"309","11560134","양평동","Yangpyeong-dong","37.5326108","126.8899611"
"310","11560117","당산동","Dangsan-dong","37.534892","126.9024682"
"311","11290126","보문동4가","Bomun-dong 4(sa)-ga","37.5829039","127.0213823"
"312","11290118","동선동3가","Dongseon-dong 3(sam)-ga","37.5941547","127.0204851"
"315","11290131","보문동2가","Bomun-dong 2(i)-ga","37.5858495","127.018301"
"322","11710104","송파동","Songpa-dong","37.5049182","127.1138537"
"327","11290104","동소문동1가","Dongsomun-dong 1(il)-ga","37.5901376","127.0072562"
"331","11200113","옥수동","Oksu-dong","37.5420259","127.0219998"
"332","11200105","마장동","Majang-dong","37.5670762","127.0407448"
"334","11290130","보문동1가","Bomun-dong 1(il)-ga","37.5864995","127.0196092"
"335","11560118","도림동","Dorim-dong","37.5082421","126.90154"
"336","11170110","청파동2가","Cheongpa-dong 2(i)-ga","37.5462385","126.9666853"
"337","11170118","원효로4가","Wonhyoro 4(sa)-ga","37.532933","126.9506459"
"338","11560101","영등포동","Yeongdeungpo-dong","37.5134157","126.9067838"
"339","11170119","효창동","Hyochang-dong","37.543576","126.9607224"
"340","11170101","후암동","Huam-dong","37.5503851","126.9805052"
"341","11440122","합정동","Hapjeong-dong","37.5478042","126.9079932"
"348","11710113","거여동","Geoyeo-dong","37.4893748","127.147023"
"349","11290139","석관동","Seokgwan-dong","37.6079392","127.0611742"
"342","11170130","이태원동","Itaewon-dong","37.5388621","126.9922784"
"343","11170128","한강로3가","Hangangno 3(sam)-ga","37.5280447","126.9632302"
"344","11200109","금호동1가","Geumho-dong 1(il)-ga","37.5530419","127.0213785"
"346","11200115","성수동2가","Seongsu-dong 2(i)-ga","37.5407489","127.0571066"
"355","11440110","노고산동","Nogosan-dong","37.5540256","126.938245"
"328","11200107","행당동","Haengdang-dong","37.5591737","127.03525"
"329","11710108","문정동","Munjeong-dong","37.4856663","127.1237435"
"330","11440123","망원동","Mangwon-dong","37.5559402","126.8999197"
"356","11560127","양평동3가","Yangpyeong-dong 3(sam)-ga","37.5296813","126.8897891"
"357","11170109","청파동1가","Cheongpa-dong 1(il)-ga","37.5488937","126.9671724"
"358","11170125","한강로2가","Hangangno 2(i)-ga","37.5312807","126.9686038"
"359","11170102","용산동2가","yongsan-dong  2(i)-ga","37.5430767","126.9858634"
"450","11560111","당산동1가","Dangsan-dong 1(il)-ga","37.5214443","126.8985373"
"360","11170111","청파동3가","Cheongpa-dong 3(sam)-ga","37.5433004","126.9666029"
"364","11200110","금호동2가","Geumho-dong 2(i)-ga","37.5525166","127.0217887"
"365","11710111","방이동","Bangi-dong","37.5163579","127.1260691"
"366","11215104","광장동","Gwangjang-dong","37.5477291","127.1042144"
"367","11710107","가락동","Garak-dong","37.4942803","127.1176314"
"368","11560130","양평동6가","Yangpyeong-dong 6(yuk)-ga","37.5427197","126.889431"
"362","11200106","사근동","Sageun-dong","37.5589469","127.0467523"
"363","11290134","길음동","Gireum-dong","37.6084879","127.0223926"
"351","11470103","신월동","Sinwol-dong","37.5290519","126.837064"
"352","11170129","이촌동","Ichon-dong","37.5188354","126.9651355"
"353","11170136","보광동","Bogwang-dong","37.526885","127.0017006"
"354","11170131","한남동","Hannam-dong","37.5374384","127.0060974"
"375","11290120","동선동5가","Dongseon-dong 5(o)-ga","37.5963264","127.0168846"
"376","11290128","보문동6가","Bomun-dong 6(yuk)-ga","37.5806329","127.0192952"
"377","11710103","풍납동","Pungnap-dong","37.5335451","127.1132244"
"378","11710101","잠실동","Jamsil-dong","37.5111559","127.0858095"
"380","11290110","동소문동7가","Dongsomun-dong 7(chil)-ga","37.5963137","127.0142975"
"381","11200111","금호동3가","Geumho-dong 3(sam)-ga","37.5499287","127.0195555"
"393","11650106","잠원동","Jamwon-dong","37.5153035","127.0093895"
"394","11170124","한강로1가","Hangangno 1(il)-ga","37.5358426","126.9730994"
"396","11215107","화양동","Hwayang-dong","37.5435023","127.0736984"
"406","11200104","도선동","Doseon-dong","37.5634228","127.0332234"
"410","11560115","당산동5가","Dangsan-dong 5(o)-ga","37.5321286","126.9010103"
"415","11710105","석촌동","Seokchon-dong","37.502828","127.1041072"
"421","11560104","영등포동3가","Yeongdeungpo-dong 3(sam)-ga","37.5181304","126.9084001"
"432","11560108","영등포동7가","Yeongdeungpo-dong 7(chil)-ga","37.5242607","126.9071887"
"436","11170120","도원동","Dowon-dong","37.538784","126.9562612"
"398","11440111","신수동","Sinsu-dong","37.5480088","126.9372621"
"399","11410108","영천동","Yeongcheon-dong","37.5701581","126.9583202"
"400","11290108","동소문동5가","Dongsomun-dong 5(o)-ga","37.5915119","127.0150678"
